L0;L1;L2;L3
Total assets;Fixed assets;Intangible fixed assets;
Total assets;Fixed assets;Tangible fixed assets;
Total assets;Fixed assets;Other fixed assets;
Total assets;Current assets;Stock;
Total assets;Current assets;Debtors;
Total assets;Current assets;Other current assets;Cash & cash equivalent
Total shareh. funds & liab.;Shareholders funds;Capital;
Total shareh. funds & liab.;Shareholders funds;Other shareholders funds;
Total shareh. funds & liab.;Non-current liabilities;Long term debt;
Total shareh. funds & liab.;Non-current liabilities;Other non-current liabilities;Provisions
Total shareh. funds & liab.;Current liabilities;Loans;
Total shareh. funds & liab.;Current liabilities;Creditors;
Total shareh. funds & liab.;Current liabilities;Other current liabilities;
