Company name;Fixed assets 2018;Fixed assets 2017;Fixed assets 2016;Intangible fixed assets 2018;Intangible fixed assets 2017;Intangible fixed assets 2016;Tangible fixed assets 2018;Tangible fixed assets 2017;Tangible fixed assets 2016;Other fixed assets 2018;Other fixed assets 2017;Other fixed assets 2016;Current assets 2018;Current assets 2017;Current assets 2016;Stock 2018;Stock 2017;Stock 2016;Debtors 2018;Debtors 2017;Debtors 2016;Other current assets 2018;Other current assets 2017;Other current assets 2016;Cash & cash equivalent 2018;Cash & cash equivalent 2017;Cash & cash equivalent 2016;Total assets 2018;Total assets 2017;Total assets 2016;Shareholders funds 2018;Shareholders funds 2017;Shareholders funds 2016;Capital 2018;Capital 2017;Capital 2016;Other shareholders funds 2018;Other shareholders funds 2017;Other shareholders funds 2016;Non-current liabilities 2018;Non-current liabilities 2017;Non-current liabilities 2016;Long term debt 2018;Long term debt 2017;Long term debt 2016;Other non-current liabilities 2018;Other non-current liabilities 2017;Other non-current liabilities 2016;Provisions 2018;Provisions 2017;Provisions 2016;Current liabilities 2018;Current liabilities 2017;Current liabilities 2016;Loans 2018;Loans 2017;Loans 2016;Creditors 2018;Creditors 2017;Creditors 2016;Other current liabilities 2018;Other current liabilities 2017;Other current liabilities 2016;Total shareh. funds & liab. 2018;Total shareh. funds & liab. 2017;Total shareh. funds & liab. 2016;NACE Rev. 2 primary code;NACE Rev. 2, primary code description;MORE evaluation - Score 2018;MORE evaluation - Score 2017;MORE evaluation - Score 2016
MARTIN TOLKSDORF LOGISTICS GMBH;121;120;57;0;0;0;65;64;57;56;56;0;2006;1316;899;1;1;1;0;0;0;2006;1315;898;495;153;185;2127;1436;956;1363;796;377;25;25;25;1338;771;352;169;248;147;13;18;23;157;230;123;157;230;123;594;392;432;0;0;0;0;0;0;594;392;432;2127;1436;956;5229;Other transportation support activities;BBB;BB;BB
AS STROEMUNGSTECHNIK GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG;5007;4819;2915;10;8;0;4749;4671;2915;249;141;0;2155;1771;2098;304;211;175;573;0;0;1278;1560;1923;1026;298;483;7162;6590;5014;3247;2582;1905;25;25;25;3222;2557;1880;2799;4009;3109;2496;3370;2327;304;639;781;304;639;781;1116;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;608;n.a.;n.a.;7162;6590;5014;2221;Manufacture of plastic plates, sheets, tubes and profiles;A;A;BBB
DRAEGER ENERGIE GMBH;1349;1305;1267;0;0;0;1349;1305;1267;0;0;0;549;795;1259;8;14;32;171;184;3;370;597;1225;n.a.;n.a.;4;1898;2100;2526;25;25;25;25;25;25;0;0;0;1788;963;1471;1217;0;0;572;963;1471;572;963;1471;85;1112;1030;0;0;0;0;18;309;85;1095;721;1898;2100;2526;3513;Distribution of electricity;B;B;BB
NEU-MEDIANET GMBH;17819;14596;13429;236;246;106;17583;14350;13323;0;0;0;1020;858;778;0;0;0;868;759;719;152;99;59;19;9;13;18840;15454;14207;1520;1391;1323;300;300;300;1220;1091;1023;10829;10209;8626;10555;10057;8352;273;152;273;273;152;273;6491;3854;4258;0;0;0;1679;936;765;4812;2918;3493;18840;15454;14207;4321;Electrical installation;CCC;CCC;CCC
STERN-WASCHMITTEL GMBH;2329;2289;2411;158;22;49;2104;2195;2298;68;72;64;1906;1863;1621;1186;1127;908;0;0;0;720;735;713;3;1;34;4235;4151;4032;643;574;549;76;76;76;567;498;473;2210;2094;2251;2059;1961;2132;151;133;119;151;133;119;1382;1484;1231;0;0;n.a.;0;0;n.a.;1382;1484;0;4235;4151;4032;2041;Manufacture of soap and detergents, cleaning and polishing preparations;B;B;B
WALLSTREET:ONLINE AG;10231;83;220;215;66;196;32;17;24;9984;0;0;10553;4789;1852;0;0;0;469;268;389;10084;4521;1463;9260;3331;1431;20784;4872;2072;19310;2054;1812;1666;1022;2556;17644;1032;-744;854;668;156;194;0;0;660;668;156;660;668;156;620;2150;104;0;0;0;0;162;24;620;1988;80;20784;4872;2072;6311;Data processing, hosting and related activities;AA;A;A
LINDNER - SPRUEHSYSTEME HANDELS- UND BERATUNGSGESELLSCHAFT MBH;248;197;206;13;21;38;236;176;168;0;0;0;1813;1685;1664;624;640;671;0;0;0;1190;1045;992;577;444;324;2062;1882;1870;1452;1293;1334;30;30;30;1422;1263;1304;276;221;536;105;118;399;171;103;137;171;103;137;334;368;0;0;0;n.a.;0;0;n.a.;334;368;n.a.;2062;1882;1870;2222;Manufacture of plastic packing goods;BBB;BBB;BBB
"DIAKONIE IN NORDHAUSEN/STIFTUNG ""MARIA IM ELENDE"" GMBH";10215;10715;11079;2;25;51;10214;10690;11028;0;0;0;1808;1528;1326;0;0;0;114;117;195;1694;1411;1132;1655;1390;1113;12023;12243;12405;10804;10675;10838;250;250;250;10554;10425;10588;869;1196;1230;567;768;871;302;428;360;302;428;360;350;371;337;102;103;102;166;174;135;82;94;100;12023;12243;12405;8790;Other residential care activities;A;BBB;BBB
GASTROFIX GMBH;210;182;484;18;6;409;192;176;74;0;0;0;4688;9040;2078;261;185;98;0;0;0;4427;8855;1980;2961;7531;1060;4898;9222;2561;1805;5544;300;55;55;40;1750;5489;260;2686;3350;2045;2243;2412;1954;442;938;90;442;938;90;407;327;216;0;0;0;0;0;0;407;327;216;4898;9222;2561;6201;Computer programming activities;BBB;BBB;BB
GUMMI HANSEN GMBH;3061;657;657;88;106;99;2974;550;558;0;0;0;1795;1841;1462;1137;1034;803;542;666;513;116;141;146;2;1;2;4856;2498;2118;1307;631;545;750;250;250;557;381;295;2112;165;244;1850;0;109;262;165;134;236;133;96;1437;1701;1330;436;480;427;708;885;580;293;336;323;4856;2498;2118;2229;Manufacture of other plastic products;BB;B;BB
BECKMANN & BREHM GMBH;339;348;363;81;88;97;0;2;8;258;258;258;1062;899;1202;68;13;10;0;0;0;993;886;1192;2;2;118;1401;1247;1566;899;863;881;51;51;51;848;812;830;502;383;685;470;375;671;32;8;13;32;8;13;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1401;1247;1566;4675;Wholesale of chemical products;BB;BB;BBB
KRAFTVERKEHR MUNDSTOCK, GMBH;5555;5325;5322;18;15;0;2643;2416;2427;2894;2894;2894;1263;883;1529;58;68;102;0;0;0;1205;815;1427;234;135;379;6818;6208;6851;3872;3872;3872;312;312;312;3560;3560;3560;1441;1386;1452;1160;1139;939;281;248;513;281;248;513;1505;950;1527;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;195;83;1;6818;6208;6851;4939;Other passenger land transport nec;BBB;BBB;BBB
COMTEC SYSTEME GMBH;355;223;105;0;0;0;355;223;105;0;0;0;5198;4500;2905;3615;1223;575;514;958;262;1070;2319;2069;159;116;560;5553;4723;3010;4842;4026;2594;25;25;25;4817;4001;2569;231;564;225;0;0;0;231;564;225;231;564;225;480;133;191;0;0;0;360;125;51;120;8;140;5553;4723;3010;2016;Manufacture of plastics in primary forms;AA;AAA;BBB
ALTA DEUTSCHLAND GMBH;233;253;247;33;40;18;200;213;230;0;0;0;2817;2592;2352;233;202;265;0;0;0;2584;2390;2086;1030;736;908;3050;2845;2599;2089;1762;1290;410;410;410;1679;1352;880;930;1035;1303;734;771;1135;196;264;169;196;264;169;32;47;5;0;0;0;0;0;0;32;47;5;3050;2845;2599;8690;Other human health activities;BBB;BBB;BBB
AUTOHAUS SCHOLL GMBH;286;264;217;1;3;5;284;260;210;1;1;1;2163;2377;3120;1142;1500;2056;0;0;0;1021;877;1064;384;239;346;2449;2641;3337;918;725;876;130;130;130;788;595;746;1530;1916;2461;1420;1833;2377;110;83;85;110;83;85;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2449;2641;3337;4511;Sale of cars and light motor vehicles;BBB;BBB;BBB
WEISS OBERFLAECHENTECHNIK GMBH;409;0;0;0;n.a.;n.a.;409;n.a.;n.a.;0;n.a.;n.a.;1457;197;23;279;0;0;665;0;0;513;197;23;2;197;23;1866;197;23;296;194;22;200;200;25;96;-6;-3;1340;1;1;683;0;0;657;1;1;657;1;1;231;1;0;0;0;n.a.;190;0;n.a.;41;1;n.a.;1866;197;23;4334;Painting and glazing;BB;BB;BB
3R PROJEKTENTWICKLUNG GMBH;1315;838;852;0;0;0;1315;838;852;0;0;0;7778;8748;5079;7109;7896;4846;0;0;0;669;852;233;240;842;159;9093;9586;5931;1704;1257;430;27;27;27;1677;1230;403;7388;8330;5500;6982;7672;5243;406;657;258;406;657;258;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;9093;9586;5931;6810;Buying and selling of own real estate;B;B;CCC
24/25 TV & MEDIENPRODUKTION GMBH;636;625;526;0;0;0;636;624;525;0;0;0;1986;2057;1381;0;300;0;0;0;0;1986;1757;1381;812;561;260;2622;2681;1907;1294;1167;856;102;102;102;1192;1065;754;834;810;525;181;277;283;652;533;242;652;533;242;494;704;525;0;0;0;0;0;0;494;704;525;2622;2681;1907;5911;Motion picture, video and television programme production activities;BBB;BBB;BBB
WEISSENHAUS BETRIEBSGESELLSCHAFT MBH;3022;3295;3760;36;17;39;2986;3278;3721;0;0;0;1498;1012;1718;211;228;190;0;0;488;1287;784;1041;807;208;345;4519;4307;5478;-5238;-7660;-12094;1000;1000;1000;-6238;-8660;-13094;9758;11956;11433;9393;11746;11175;365;210;258;365;210;258;0;11;6140;n.a.;0;653;n.a.;0;4646;n.a.;11;841;4519;4307;5478;5510;Hotels and similar accommodation;CCC;CCC;C
ADITO SOFTWARE GMBH;616;221;151;46;54;6;565;162;141;5;5;5;2657;3185;2930;0;0;0;0;0;0;2657;3185;2930;1175;2134;1999;3273;3406;3081;2300;1989;1534;51;51;51;2249;1938;1483;481;639;547;0;0;0;481;639;547;481;639;531;492;777;1001;0;0;0;0;0;0;492;777;1001;3273;3406;3081;4741;Retail sale of computers, peripheral units and software in specialised stores;BBB;BBB;BBB
AFS AIRFILTER SYSTEME GMBH;198;202;163;15;32;18;183;170;145;0;0;0;3506;1906;2281;723;916;506;0;0;0;2783;990;1775;1711;485;841;3705;2109;2444;2031;1390;1145;55;55;55;1976;1335;1089;1674;719;1299;697;214;588;977;505;712;977;505;712;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;3705;2109;2444;3320;Installation of industrial machinery and equipment;BBB;BBB;BBB
ANKNER GMBH;404;469;543;7;13;11;398;456;532;0;0;0;2681;2110;2864;1138;716;1078;0;0;0;1544;1394;1786;350;527;440;3086;2579;3406;1413;1443;1423;25;25;25;1388;1418;1398;111;122;115;0;0;0;111;122;115;111;122;115;1562;1013;1868;0;0;0;0;0;0;1562;1013;1868;3086;2579;3406;2511;Manufacture of metal structures and parts of structures;BBB;BBB;BBB
AUTOCENTER PLAUEN SUED GMBH;968;959;759;0;1;1;968;958;758;0;0;0;2878;2800;2691;1068;980;1098;0;0;0;1810;1820;1593;1169;974;949;3846;3759;3450;1748;1609;1551;26;26;26;1723;1583;1526;2098;2151;370;1997;2083;218;101;68;152;101;68;152;0;0;1528;n.a.;n.a.;0;n.a.;n.a.;0;n.a.;n.a.;1528;3846;3759;3450;4510;Sale of motor vehicles;BBB;BBB;BBB
AUTO-JOERG GMBH;1805;1081;836;2;2;0;1803;1079;835;0;0;0;4414;3749;3227;2767;2262;1752;0;0;0;1647;1488;1475;4;23;251;6219;4830;4062;1085;1091;973;183;183;183;902;908;790;649;132;128;566;32;38;83;100;91;83;100;91;4485;3607;2961;0;0;0;0;0;0;4485;3607;2961;6219;4830;4062;4510;Sale of motor vehicles;B;B;B
BAIER DREHTEILE GMBH & CO. KG;1450;1322;256;6;14;13;300;330;243;1143;977;0;3909;4032;5197;1790;1636;994;0;0;0;2119;2396;4202;1450;1797;3551;5358;5354;5453;3799;4148;4190;1852;2201;2243;1947;1947;1947;1560;1207;1263;979;890;1058;581;317;205;581;317;205;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;5358;5354;5453;2562;Machining;BBB;BBB;BBB
BAU- UND HEIMWERKERMARKT SAILER GMBH;188;217;215;0;0;0;188;217;215;0;0;0;4231;3546;3069;573;422;449;0;0;0;3658;3123;2620;831;804;667;4419;3763;3284;3458;3099;2496;26;26;26;3433;3074;2471;222;301;270;0;0;0;222;301;270;222;301;270;739;363;518;0;0;0;0;0;0;739;363;518;4419;3763;3284;4752;Retail sale of hardware, paints and glass in specialised stores;BBB;BBB;BBB
BAU UND RENOVIERUNGSZENTRUM STOCK GMBH;836;917;916;0;0;1;493;574;572;343;343;343;2001;1983;1991;1059;931;832;0;0;0;942;1052;1159;11;13;82;2837;2900;2907;1656;1649;1675;77;77;77;1579;1572;1598;634;1252;872;554;1225;842;79;27;30;79;27;30;547;0;360;0;n.a.;0;0;n.a.;0;547;n.a.;360;2837;2900;2907;4673;Wholesale of wood, construction materials and sanitary equipment;BBB;BBB;BBB
BAUSTOFFHANDELSGESELLSCHAFT MBH & CO BETRIEBS-KOMMANDITGESELLSCHAFT;2620;2616;1952;0;0;0;1385;1380;1026;1235;1235;926;4027;4063;3774;890;764;761;0;0;0;3137;3299;3013;156;113;89;6648;6679;5726;4795;5189;4722;1005;1005;1005;3790;4184;3717;1852;1490;592;1770;1423;498;82;67;93;82;67;93;0;0;412;n.a.;n.a.;0;n.a.;n.a.;0;n.a.;n.a.;412;6648;6679;5726;4673;Wholesale of wood, construction materials and sanitary equipment;BBB;BBB;BBB
BERNDT GEBAEUDEREINIGUNG MEISTERBETRIEB GMBH;105;102;113;6;8;2;100;94;111;0;0;0;3335;3276;3003;12;31;27;0;0;0;3323;3245;2976;79;333;26;3441;3378;3116;2653;2516;2383;25;25;25;2628;2491;2358;147;121;103;41;29;21;106;92;82;106;92;82;641;742;630;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1;1;1;3441;3378;3116;8121;General cleaning of buildings;BBB;BBB;BBB
CARL HASS GMBH;170;243;318;88;121;153;74;115;157;8;8;8;1494;1407;860;93;80;82;0;0;0;1401;1328;778;869;953;522;1663;1651;1179;514;417;326;230;230;230;283;187;95;1150;1234;853;1086;1138;791;64;96;63;64;96;63;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1663;1651;1179;4671;Wholesale of solid, liquid and gaseous fuels and related products;BBB;BBB;BB
DBB VERLAG GMBH;139;152;180;41;45;43;48;57;87;50;50;50;3621;3183;2629;160;186;100;0;0;0;3461;2997;2529;2695;2252;1879;3760;3334;2809;2789;2365;1950;200;200;200;2589;2165;1750;960;964;851;294;348;310;666;615;541;666;615;541;10;6;9;0;0;0;0;0;0;10;6;9;3760;3334;2809;5811;Book publishing;BBB;BBB;BBB
DEPRO GMBH & CO KG;2857;3299;3669;630;697;764;2226;2601;2903;1;0;2;1320;2505;2331;20;29;17;0;0;0;1300;2476;2314;702;753;891;4176;5803;5999;2105;1748;2105;2105;1748;2105;0;0;0;522;1466;1464;405;1374;1382;117;92;82;117;92;82;1550;2589;2430;0;0;0;0;0;0;1550;2589;2430;4176;5803;5999;4941;Freight transport by road;BB;B;B
DER FLINKE FINK GMBH;649;550;475;6;17;18;623;504;419;21;29;38;1389;1205;823;1;1;1;0;0;0;1387;1204;823;635;632;353;2038;1755;1298;830;864;626;19;19;19;811;845;607;488;891;154;233;691;71;255;200;83;255;200;83;720;0;518;0;n.a.;0;0;n.a.;0;720;n.a.;518;2038;1755;1298;5229;Other transportation support activities;BBB;BBB;BB
